external_source,model_uid,model,model_label,model_family,N_points,chi2_log,median_log10_model_over_obs,reduced_chi2_log
Oliver et al. / Table 2,casey::casey_T45_a20,casey_T45_a20,Casey T45K a=2.0,Casey-like template,28,338.60019924615244,-1.0224448989319297,12.092864258791158
Glenn et al. / Table 4 P(D) spline no FIRAS,hybrid::fsps_lirnorm,fsps_lirnorm,FSPS,baseline,22,267.26130350610083,0.5356618057634535,12.148241068459129
Varnish et al. / Table 4 P(D) best-fit spline,casey::casey_T25_a25,casey_T25_a25,Casey T25K a=2.5,Casey-like template,30,368.35509004499613,0.3364625540788648,12.278503001499871
Glenn et al. / Table 4 P(D) spline no FIRAS,hybrid::aless,aless,ALESS,empirical template,22,270.3238758102422,-0.3905885075226629,12.287448900465556
Clements et al. / Table 1,hybrid::fsps_lirnorm,fsps_lirnorm,FSPS,baseline,70,864.4307106594517,0.4073726584656255,12.349010152277883
Varnish et al. / Table 4 P(D) best-fit spline,casey::casey_T40_a25,casey_T40_a25,Casey T40K a=2.5,Casey-like template,30,396.7461930047376,-0.5628279724334356,13.22487310015792
Pearson et al. / Table 4 XID,hybrid::aless,aless,ALESS,empirical template,58,790.8855090960485,-0.6415492760563979,13.635957053380146
Clements et al. / Table 1,hybrid::aless,aless,ALESS,empirical template,70,958.7655319388925,-0.2991013431120226,13.696650456269893
Pearson et al. / Table 4 XID,casey::casey_T30_a15,casey_T30_a15,Casey T30K a=1.5,Casey-like template,58,800.0976894564324,-0.6256288532884575,13.794787749248833
Clements et al. / Table 1,hybrid::wang_snr3,wang_snr3,Wang raw SNR>=3,FSPS/ALESS hybrid,34,476.4070303586933,-0.3968710591938229,14.011971481138039
Pearson et al. / Table 4 XID,mbb::mbb_T40,mbb_T40,MBB 40 K,modified blackbody,58,819.7228698099188,-0.6337481005099204,14.133152927757221
Varnish et al. / Table 4 P(D) best-fit spline,hybrid::fsps_lirnorm,fsps_lirnorm,FSPS,baseline,30,425.83868526126946,0.3273231680103213,14.194622842042316
Clements et al. / Table 1,casey::casey_T30_a15,casey_T30_a15,Casey T30K a=1.5,Casey-like template,70,1002.0609966472339,-0.3296344057330849,14.315157094960483
Pearson et al. / Table 3 SUSSEXtractor,casey::casey_T35_a25,casey_T35_a25,Casey T35K a=2.5,Casey-like template,88,1274.6104778534586,-0.4709525576694193,14.484209975607484
Oliver et al. / Table 2,casey::casey_T45_a15,casey_T45_a15,Casey T45K a=1.5,Casey-like template,28,406.81446423699845,-1.0553349881202083,14.52908800846423
Pearson et al. / Table 3 SUSSEXtractor,casey::casey_T25_a30,casey_T25_a30,Casey T25K a=3.0,Casey-like template,88,1278.603938733167,0.3184094500950931,14.529590212876899
Varnish et al. / Table 4 P(D) best-fit spline,casey::casey_T35_a15,casey_T35_a15,Casey T35K a=1.5,Casey-like template,30,451.97065772685323,-0.6131539011165468,15.065688590895109
Clements et al. / Table 1,casey::casey_T35_a20,casey_T35_a20,Casey T35K a=2.0,Casey-like template,70,1061.8295373970539,-0.4200937592626045,15.168993391386485
Varnish et al. / Table 4 P(D) best-fit spline,mbb::mbb_T45,mbb_T45,MBB 45 K,modified blackbody,30,456.8946566609138,-0.6439749523287025,15.229821888697128
Glenn et al. / Table 4 P(D) spline no FIRAS,casey::casey_T35_a20,casey_T35_a20,Casey T35K a=2.0,Casey-like template,22,335.43636706414327,-0.4438423983321838,15.247107593824694
Clements et al. / Table 1,casey::casey_T40_a30,casey_T40_a30,Casey T40K a=3.0,Casey-like template,70,1088.0704769168228,-0.4348150215850072,15.543863955954611
Glenn et al. / Table 4 P(D) spline no FIRAS,casey::casey_T25_a30,casey_T25_a30,Casey T25K a=3.0,Casey-like template,22,372.27163153079744,0.6423287978575434,16.92143779685443
Glenn et al. / Table 4 P(D) spline no FIRAS,casey::casey_T40_a30,casey_T40_a30,Casey T40K a=3.0,Casey-like template,22,379.25707153891676,-0.4288867475173514,17.238957797223488
