band_um,model,model_label,T_dust_K,alpha_mir,flux_mjy,bin_min_mjy,bin_max_mjy,N_bin,euclidean_jy15_deg2,euclidean_err_jy15_deg2
250,casey_T30_a25,Casey T30K a=2.5,30,2.5,204.02857733683695,170.99759466766963,243.4400346449093,1,0.2030970334069399,0.2030970334069399
250,casey_T30_a25,Casey T30K a=2.5,30,2.5,290.4644596431972,243.4400346449093,346.5724215775732,1,0.3449900577744031,0.3449900577744031
250,casey_T30_a25,Casey T30K a=2.5,30,2.5,413.5185542000137,346.5724215775732,493.39642747481366,0,,
250,casey_T30_a25,Casey T30K a=2.5,30,2.5,588.7040186524744,493.39642747481366,702.4218301525182,0,,
250,casey_T30_a25,Casey T30K a=2.5,30,2.5,838.10609719326,702.4218301525182,1000.0,0,,
350,casey_T30_a25,Casey T30K a=2.5,30,2.5,5.9658317923524695,5.000000000000001,7.118229794928693,5457,5.541502556508372,0.0750154227423877
350,casey_T30_a25,Casey T30K a=2.5,30,2.5,8.493232323171238,7.118229794928693,10.133839082682117,3702,6.385765969404196,0.10495298401471416
350,casey_T30_a25,Casey T30K a=2.5,30,2.5,12.091355875609787,10.133839082682117,14.426999059072134,2164,6.340694656141961,0.136303877784487
350,casey_T30_a25,Casey T30K a=2.5,30,2.5,17.21380993097034,14.426999059072134,20.5389389107391,1031,5.131463547306469,0.15981293058172844
350,casey_T30_a25,Casey T30K a=2.5,30,2.5,24.5063709469745,20.5389389107391,29.240177382128667,447,3.779141084990441,0.17874723971375261
350,casey_T30_a25,Casey T30K a=2.5,30,2.5,34.888395968065744,29.240177382128667,41.62766037009365,178,2.5562809541843485,0.1916013581137747
350,casey_T30_a25,Casey T30K a=2.5,30,2.5,49.66872393543112,41.62766037009365,59.26305046791458,64,1.5612467794830027,0.19515584743537534
350,casey_T30_a25,Casey T30K a=2.5,30,2.5,70.71067811865476,59.26305046791458,84.36960231581453,24,0.9945023708964004,0.203001946390357
350,casey_T30_a25,Casey T30K a=2.5,30,2.5,100.66697116076413,84.36960231581453,120.11244339814311,11,0.7742661375137118,0.23345002418279084
350,casey_T30_a25,Casey T30K a=2.5,30,2.5,143.3141266963557,120.11244339814311,170.99759466766963,5,0.5978201987153088,0.2673533205299726
350,casey_T30_a25,Casey T30K a=2.5,30,2.5,204.02857733683695,170.99759466766963,243.4400346449093,2,0.4061940668138798,0.287222579121836
350,casey_T30_a25,Casey T30K a=2.5,30,2.5,290.4644596431972,243.4400346449093,346.5724215775732,0,,
350,casey_T30_a25,Casey T30K a=2.5,30,2.5,413.5185542000137,346.5724215775732,493.39642747481366,0,,
350,casey_T30_a25,Casey T30K a=2.5,30,2.5,588.7040186524744,493.39642747481366,702.4218301525182,0,,
350,casey_T30_a25,Casey T30K a=2.5,30,2.5,838.10609719326,702.4218301525182,1000.0,0,,
500,casey_T30_a25,Casey T30K a=2.5,30,2.5,5.9658317923524695,5.000000000000001,7.118229794928693,2733,2.7753209615058423,0.05308763763975256
500,casey_T30_a25,Casey T30K a=2.5,30,2.5,8.493232323171238,7.118229794928693,10.133839082682117,1566,2.701272152373574,0.06826097112961932
500,casey_T30_a25,Casey T30K a=2.5,30,2.5,12.091355875609787,10.133839082682117,14.426999059072134,781,2.288393034402436,0.08188514081740211
500,casey_T30_a25,Casey T30K a=2.5,30,2.5,17.21380993097034,14.426999059072134,20.5389389107391,326,1.6225578238815797,0.08986516641322412
500,casey_T30_a25,Casey T30K a=2.5,30,2.5,24.5063709469745,20.5389389107391,29.240177382128667,147,1.2428047863391383,0.1025048111347224
500,casey_T30_a25,Casey T30K a=2.5,30,2.5,34.888395968065744,29.240177382128667,41.62766037009365,60,0.8616677373655107,0.11124082655936166
500,casey_T30_a25,Casey T30K a=2.5,30,2.5,49.66872393543112,41.62766037009365,59.26305046791458,15,0.36591721394132876,0.09447941837902551
500,casey_T30_a25,Casey T30K a=2.5,30,2.5,70.71067811865476,59.26305046791458,84.36960231581453,9,0.37293838908615007,0.12431279636205005
500,casey_T30_a25,Casey T30K a=2.5,30,2.5,100.66697116076413,84.36960231581453,120.11244339814311,4,0.28155132273225886,0.1407756613661294
500,casey_T30_a25,Casey T30K a=2.5,30,2.5,143.3141266963557,120.11244339814311,170.99759466766963,1,0.11956403974306176,0.11956403974306176
500,casey_T30_a25,Casey T30K a=2.5,30,2.5,204.02857733683695,170.99759466766963,243.4400346449093,0,,
500,casey_T30_a25,Casey T30K a=2.5,30,2.5,290.4644596431972,243.4400346449093,346.5724215775732,0,,
500,casey_T30_a25,Casey T30K a=2.5,30,2.5,413.5185542000137,346.5724215775732,493.39642747481366,0,,
500,casey_T30_a25,Casey T30K a=2.5,30,2.5,588.7040186524744,493.39642747481366,702.4218301525182,1,0.9954342477801108,0.9954342477801109
500,casey_T30_a25,Casey T30K a=2.5,30,2.5,838.10609719326,702.4218301525182,1000.0,0,,
250,casey_T30_a30,Casey T30K a=3.0,30,3.0,5.9658317923524695,5.000000000000001,7.118229794928693,6949,7.056606425724149,0.08465151596353514
250,casey_T30_a30,Casey T30K a=3.0,30,3.0,8.493232323171238,7.118229794928693,10.133839082682117,5410,9.331981062797597,0.12687475489639724
250,casey_T30_a30,Casey T30K a=3.0,30,3.0,12.091355875609787,10.133839082682117,14.426999059072134,3564,10.442807649949144,0.1749236097612846
250,casey_T30_a30,Casey T30K a=3.0,30,3.0,17.21380993097034,14.426999059072134,20.5389389107391,2030,10.10365761496812,0.22424904478930976
250,casey_T30_a30,Casey T30K a=3.0,30,3.0,24.5063709469745,20.5389389107391,29.240177382128667,1003,8.479817691824188,0.26775405018859627
250,casey_T30_a30,Casey T30K a=3.0,30,3.0,34.888395968065744,29.240177382128667,41.62766037009365,421,6.046035290514667,0.29466573007420355
250,casey_T30_a30,Casey T30K a=3.0,30,3.0,49.66872393543112,41.62766037009365,59.26305046791458,152,3.7079611012721316,0.30075535967297623
250,casey_T30_a30,Casey T30K a=3.0,30,3.0,70.71067811865476,59.26305046791458,84.36960231581453,51,2.113317538154851,0.2959236459905341
250,casey_T30_a30,Casey T30K a=3.0,30,3.0,100.66697116076413,84.36960231581453,120.11244339814311,27,1.9004714284427469,0.3657458969328709
250,casey_T30_a30,Casey T30K a=3.0,30,3.0,143.3141266963557,120.11244339814311,170.99759466766963,10,1.1956403974306176,0.3780946918389685
250,casey_T30_a30,Casey T30K a=3.0,30,3.0,204.02857733683695,170.99759466766963,243.4400346449093,3,0.6092911002208198,0.35177438072733347
250,casey_T30_a30,Casey T30K a=3.0,30,3.0,290.4644596431972,243.4400346449093,346.5724215775732,2,0.6899801155488062,0.4878896185884385
250,casey_T30_a30,Casey T30K a=3.0,30,3.0,413.5185542000137,346.5724215775732,493.39642747481366,0,,
250,casey_T30_a30,Casey T30K a=3.0,30,3.0,588.7040186524744,493.39642747481366,702.4218301525182,0,,
250,casey_T30_a30,Casey T30K a=3.0,30,3.0,838.10609719326,702.4218301525182,1000.0,0,,
350,casey_T30_a30,Casey T30K a=3.0,30,3.0,5.9658317923524695,5.000000000000001,7.118229794928693,5900,5.991362485504746,0.0780008957279225
