band_um,model,model_label,N_points,chi2_log,reduced_chi2_log,median_log10_model_over_obs,rms_log10_model_over_obs,mean_abs_log10_model_over_obs,area_scenario,area_deg2,external_source,sky_field,survey_family,score_set
250,aless,ALESS,5,22.126875929208083,4.425375185841617,-0.4649097593413546,0.40441342637781175,0.3608272676894907,wang_farmer_1p278deg2,1.278,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
250,fsps_lirnorm,FSPS,5,10.090590512138727,2.0181181024277453,0.23283085306172202,0.29318427129437535,0.27358789965497643,wang_farmer_1p278deg2,1.278,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
250,resthybrid25,25% ALESS,5,3.91723010628795,0.78344602125759,0.09748545559768146,0.19411887887166637,0.13247618003531442,wang_farmer_1p278deg2,1.278,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
250,resthybrid50,50% ALESS,5,2.5700165315814107,0.5140033063162821,-0.1425554156837449,0.14198180734273874,0.13104281265096301,wang_farmer_1p278deg2,1.278,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
250,resthybrid75,75% ALESS,5,10.691550339176983,2.1383100678353966,-0.26027225448827457,0.2726714513619694,0.23102163986121488,wang_farmer_1p278deg2,1.278,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
250,wang_raw,Wang raw,4,13.297975781198131,3.324493945299533,-0.2946113795089165,0.4527039784660157,0.35183051369835605,wang_farmer_1p278deg2,1.278,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
350,aless,ALESS,5,13.334098482427526,2.666819696485505,-0.3517415271060137,0.3893613726317826,0.3617193596488354,wang_farmer_1p278deg2,1.278,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
350,fsps_lirnorm,FSPS,5,22.732936746837243,4.5465873493674485,0.4220915407713782,0.49201864261118633,0.45832505319962635,wang_farmer_1p278deg2,1.278,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
350,resthybrid25,25% ALESS,5,4.83630526055353,0.967261052110706,0.2892605642771401,0.26728942732777305,0.23905227570200277,wang_farmer_1p278deg2,1.278,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
350,resthybrid50,50% ALESS,5,4.921447513891236,0.9842895027782472,0.1020014625963358,0.24831521089415837,0.19552550895726634,wang_farmer_1p278deg2,1.278,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
350,resthybrid75,75% ALESS,5,11.260663596710074,2.252132719342015,-0.1499891333678921,0.34704437991083,0.29434343400093577,wang_farmer_1p278deg2,1.278,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
350,wang_raw,Wang raw,3,5.180421180421658,1.7268070601405527,-0.2640952303802052,0.342295589386185,0.2870555759196716,wang_farmer_1p278deg2,1.278,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
500,aless,ALESS,5,10.956758440298527,2.1913516880597053,-0.3671658781233516,0.5276383966774797,0.4539790480664568,wang_farmer_1p278deg2,1.278,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
500,fsps_lirnorm,FSPS,5,19.109418588379125,3.821883717675825,0.5185902962249841,0.675699953680056,0.6230306005504198,wang_farmer_1p278deg2,1.278,Oliver HerMES SDP,HerMES SDP A2218+FLS+Lockman-North+Lockman-SWIRE+GOODS-N,HerMES,clean_independent
